Agency,eventID,date,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,geometry
ISCBUL,605418522,2012.599654,2012,8,8,1,45,10,124.24,12.0,90.0,4.9,POINT (13830333.53615631 1345708.4084091089)
ISCBUL,605422479,2012.980713,2012,12,25,22,7,6,124.11,11.86,21.0,4.9,POINT (13815862.002353182 1329779.6278759574)
ISCBUL,607731844,2013.431581,2013,6,7,12,39,13,124.32,11.45,6.0,4.8,POINT (13839239.09541977 1283177.681682396)
ISCBUL,607734647,2013.683833,2013,9,7,14,22,39,123.93,12.11,20.0,5.3,POINT (13795824.494010393 1358229.6788994707)
ISCBUL,610328521,2014.011565,2014,1,5,5,18,30,124.24,11.82,15.0,4.9,POINT (13830333.53615631 1325230.0531457178)
ISCBUL,610328706,2014.027501,2014,1,11,0,54,33,124.22,11.24,1.0,4.5,POINT (13828107.146340443 1259334.6934642775)
ISCBUL,611482409,2014.665412,2014,8,31,21,0,34,124.49,11.84,20.0,4.9,POINT (13858163.408854626 1327504.7572786147)
PIVS,3000036092,2014.938068,2014,12,9,9,28,26,123.92,12.11,19.0,5.2,POINT (13794711.299102461 1358229.6788994707)
PIVS,3000036735,2015.387557,2015,5,22,10,59,59,124.24,11.47,1.0,5.1,POINT (13830333.53615631 1285449.3604923305)
PIVS,3000037449,2015.826202,2015,10,29,13,31,49,123.92,12.17,18.0,4.5,POINT (13794711.299102461 1365061.6340357058)
PIVS,3000037465,2015.840584,2015,11,3,19,30,51,124.32,11.88,80.0,4.3,POINT (13839239.09541977 1332054.6652393385)
PIVS,3000038067,2016.223314,2016,3,22,22,56,51,123.97,12.14,1.0,4.5,POINT (13800277.273642125 1361645.4640929557)
ISCBUL,614939227,2016.249483,2016,4,1,13,26,35,124.41,12.19,108.0,4.3,POINT (13849257.849591164 1367339.2949191858)
PIVS,3000038629,2016.616357,2016,8,14,4,52,33,124.32,11.59,3.0,5.4,POINT (13839239.09541977 1299082.8228277883)
ISCBUL,616715893,2016.939912,2016,12,10,22,44,36,124.32,12.17,9.0,5.2,POINT (13839239.09541977 1365061.6340357058)
